anunciante;titulo;municipio;precio_eur;precio_anterior_eur;descuento_pct;superficie_m2;tipo_suelo;referencia_catastral;notas;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Inmobiliaria cantabria;Barrio Zurita, 2 D, Zurita, Piélagos;Piélagos;140000;;;3490.0;Urbano (solar);;;False;True;40.11461318051576
Inmobiliaria cantabria;Avenida Monseñor del Val, 20, Suances;Suances;114950;;;1267.0;Urbanizable;;;False;True;90.72612470402525
;Somarriba, 5, Liencres, Piélagos;Piélagos;180000;;;1817.0;Urbano (solar);;Vistas al mar (indicado);False;True;99.06439185470556
;Vía, Oruña, Piélagos;Piélagos;166000;;;2437.0;Urbanizable;2957011VP2025N0001UH;Mismo RC que id 108;False;True;68.11653672548215
Fincas Indautxu;Barrio Llatas, 14, Liencres, Piélagos;Piélagos;235000;;;750.0;Urbano (solar);;Vistas al mar;False;True;313.3333333333333
compracasa-online;Calle la gesa, Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;180000;;;12925.0;Urbano (solar);;Parte urbana 1.050 m² U1;False;True;13.926499032882012
Oyambre Servicios Inmobiliarios;Barrio Zurita, Zurita, Piélagos;Piélagos;85000;;;8172.0;Urbanizable;;;False;True;10.401370533529123
Esparta Inmobiliaria;La Albericia, s/n, Alisal - Cazoña - San Román, Santander;Santander;850000;;;6250.0;Urbanizable;;Ámbito SUNC AE-79;False;True;136.0
;Barrio Mijares, 86 u, Polanco;Polanco;85000;;;1600.0;Urbanizable;;Autorización CROTU;False;True;53.125
;Calle la Reina, 3, Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;179000;182000.0;2.0;955.0;Urbano (solar);;;True;True;187.434554973822
;Calle Vía, Suances;Suances;362000;;;2405.0;Urbano (solar);5451909VP1055S0001OQ;;False;True;150.51975051975052
;Barrio Mijares, s/n, Polanco;Polanco;61000;;;6006.0;Urbanizable;;Licencia para construir (según texto);False;True;10.156510156510157
Inmobiliarias San Fernando;Calle Santa Teresa, Maliaño, Camargo;Camargo;390000;;;2173.0;Urbanizable;;;False;True;179.47537965945696
Inmobiliaria PAS-NuevoPiso;Barrio la Soledad, Arce, Piélagos;Piélagos;157000;;;1478.0;Urbano (solar);;;False;True;106.22462787550744
