titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Los Corrales de Buelna;Los Corrales de Buelna;115000;333.0;Urbanizable;False;True;345.3453453453453
Pomaluengo;Castañeda;95000;2013.0;Urbanizable;False;True;47.19324391455539
Entrambasaguas;Entrambasaguas;62500;660.0;Urbano (solar);False;True;94.6969696969697
Bareyo;Bareyo;38000;5289.0;No urbanizable;False;False;7.1847230100207975
Gajano;Marina de Cudeyo;115000;675.0;Urbano (solar);False;True;170.37037037037038
Udías;Udías;98000;2577.0;Urbano (solar);False;True;38.02871556072953
Bareyo;Bareyo;23000;7694.0;No urbanizable;False;False;2.9893423446841694
Guarnizo;Astillero;90000;1016.0;Urbano (solar);False;True;88.58267716535433
Ribamontán al Monte;Ribamontán al Monte;70000;10000.0;Urbanizable;False;True;7.0
Villaescusa;Villaescusa;145000;4500.0;Urbanizable;False;True;32.22222222222222
Ribamontán al Monte;Ribamontán al Monte;35000;1500.0;Urbanizable;False;True;23.33333333333333
Ribamontán al Monte;Ribamontán al Monte;149000;16000.0;Urbanizable;False;True;9.3125
uhj49, Entrambasaguas;Entrambasaguas;49000;1100.0;Urbano (solar);False;True;44.54545454545455
Barrio Pontejos-La Cavada, Marina de Cudeyo;Marina de Cudeyo;120000;3600.0;Urbanizable;True;True;33.333333333333336
opl79, Ribamontán al Monte;Ribamontán al Monte;79000;8000.0;Urbanizable;False;True;9.875
