fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Inmobiliaria Uranga,piso,apartamento,Calle República de Costa Rica,Zona Playa,Laredo,259000.0,1.0,2.0,70.0,7.0,1.0,1.0,0
Inmobiliaria Mi Villa,piso,apartamento,Avenida de España,Centro,Laredo,498000.0,1.0,3.0,100.0,0.0,1.0,0.0,0
Bahía Home,piso,apartamento,"Calle Lope de Vega, 18",Puerto Chico,Santander,550000.0,,3.0,113.0,4.0,1.0,1.0,0
Inmobiliaria Cidenar,piso,apartamento,Calle las Rederas,Castilla - Hermida,Santander,228000.0,,3.0,73.0,4.0,,1.0,0
Bahía Home,casa,casa independiente,"Calle El Millajo, 1469",,Miengo,698000.0,1.0,5.0,244.0,0.0,,,0
Inmobiliaria Eurocasa,piso,apartamento,Calle Vargas,Cuatro Caminos,Santander,320000.0,,3.0,85.0,4.0,1.0,1.0,0
desconocido,piso,apartamento,"Calle del Voluntariado, 6",Centro,Castro-Urdiales,297000.0,1.0,2.0,80.0,1.0,1.0,1.0,0
Inmobiliaria Uranga,piso,apartamento,Calle República de Colombia,Zona Playa,Laredo,240000.0,,2.0,60.0,15.0,1.0,1.0,0
Engel & Völkers Santander,piso,apartamento,Calle Castelar,Puerto Chico,Santander,1700000.0,1.0,5.0,235.0,,1.0,1.0,0
Reines Grupo Inmobiliario Santander,piso,apartamento,"Calle Joaquín Bustamante, 6",Alisal - Cazoña - San Román,Santander,298000.0,1.0,3.0,120.0,2.0,1.0,0.0,0
MiPiso.com,casa,casa adosada,"Calle República de Panamá, 26",El Puntal,Laredo,550000.0,1.0,4.0,262.0,0.0,,,0
Engel & Völkers Santander,piso,apartamento,Calle Real Racing Club,El Sardinero,Santander,790000.0,1.0,3.0,176.0,,1.0,1.0,0
FLAT INMOBILIARIA,piso,apartamento,Calle Bajada del Chorrillo 3,Centro,Castro-Urdiales,299000.0,,3.0,85.0,3.0,1.0,1.0,0
FLAT INMOBILIARIA,piso,apartamento,Calle de la Ronda 18,Centro,Castro-Urdiales,295000.0,,3.0,104.0,1.0,1.0,1.0,0
Inmonojasol s.l,piso,dúplex,Avenida Ris,Ris,Noja,185000.0,1.0,2.0,62.0,2.0,1.0,0.0,0
Inmonojasol s.l,piso,apartamento,Calle Los Pinares,Ris,Noja,243000.0,1.0,2.0,60.0,0.0,1.0,1.0,0
Gestion inmobiliaria Victoria,piso,apartamento,Isaac Castillo,Mioño-Santullán,Castro-Urdiales,180000.0,,4.0,116.0,1.0,1.0,0.0,0
wejaus,piso,apartamento,Calle Alta 24,Numancia - San Fernando,Santander,185000.0,,1.0,56.0,1.0,1.0,0.0,0
altamira21.com,piso,apartamento,Calle San Sebastian,General Dávila,Santander,209000.0,,2.0,55.0,3.0,1.0,0.0,0
Inmobiliarias San Fernando,piso,apartamento,Calle Poeta Gerardo Diego,Alisal - Cazoña - San Román,Santander,350000.0,1.0,3.0,105.0,1.0,1.0,1.0,0
CHOMON (Margen Izquierda),piso,apartamento,Calle Miguel de Cervantes,Brazomar,Castro-Urdiales,269000.0,1.0,2.0,65.0,2.0,1.0,1.0,0
