id,tipo_inmueble,titulo,municipio,zona,precio_mensual_eur,habitaciones,superficie_m2,planta,exterior,ascensor,garaje_incluido,garaje_opcional,temporada,lujo,vistas_mar,amueblado,observaciones
53,Ático,Ernest Lluch 5a,Santander,La Pereda-Valdenoja,980,1,70,6,1,1,1,0,0,0,0,1,Rebajado 1050->980 semi amueblado disponible 15 feb
54,Piso,León Felipe 8,Santander,Puerto Chico,950,1,60,4,1,1,1,0,0,0,0,null,Rebajado 1000->950 apartamento con garaje
55,Chalet independiente,Avenida Juan de Herrera,Santa Cruz de Bezana,Maoño,4500,5,514,null,null,null,1,0,0,1,0,null,Lujo parcela >3000m2 piscina/barbacoa
56,Piso,Blas Cabrera,Santander,Los Castros,870,3,100,3,1,1,0,0,1,0,0,null,Temporal sep-jun frente universidades
57,Piso,Alcalde Vega Lamera 5 (2),Santander,El Sardinero,3000,2,80,2,1,1,0,0,1,1,0,null,Temporada lujo (mismo portal que id 49 distinto precio)
58,Ático,Isaac Peral,Suances,,2700,3,112,2,1,0,1,0,1,0,0,null,Temporal precios por mes (texto menciona 2025)
59,Chalet independiente,Calle San Pedro,Limpias,,1200,3,158,null,null,null,0,0,0,0,0,null,Chalet individual urbanización privada
60,Piso,El Mansín 21,Santander,Cueto-Valdenoja-La Pereda,1500,3,136,1,1,1,1,0,0,0,0,null,Sin mobiliario terraza piscina pádel disponible fijo abril
61,Piso,Silvestre Ochoa,Castro-Urdiales,Playa Ostende,850,1,61,"entreplanta",1,1,1,0,0,0,1,null,Primera línea de playa SOLO FUNCIONARIOS
62,Piso,Melitón Pérez del Camino 5,Castro-Urdiales,Centro,750,1,49,3,1,0,0,0,0,0,0,null,Solo funcionarios no fumadores sin mascotas loft reformado
63,Piso,Paseo Menéndez Pelayo,Brazomar (Castro-Urdiales),Brazomar,1100,3,100,2,1,1,1,0,0,0,0,null,Larga estancia requisitos seguro ingresos >=3300
64,Chalet adosado,Barrio de Santullán 47C,Castro-Urdiales,Mioño-Santullán,1100,3,160,null,null,null,1,0,0,0,0,null,Adosado con jardín terraza piscina comunitaria no mascotas
65,Piso,Avenida Reina Victoria 47,Santander,Puerto Chico,950,1,75,5,1,1,0,0,0,0,0,null,Reformado altas calidades disponible fijo
66,Piso,Calle Vargas,Santander,Numancia-San Fernando,850,2,101,2,1,0,0,0,0,0,0,null,Recién reformado sin ascensor
67,Piso,Paseo de Altamira,Santander,General Dávila,1200,1,65,2,1,0,1,0,0,0,0,null,Fijo terraza orientación sur garaje en edificio
68,Piso,Marqués del Arco,Santander,Centro-Ayuntamiento,1850,3,182,6,1,1,0,0,0,0,0,null,Piso alta calidad muy amplio
69,Piso,Avenida Maura,Santander,El Sardinero,975,3,80,1,1,1,1,0,1,0,0,null,Temporal curso 2026-27 no fijo
70,Piso,Camilo Alonso Vega,Santander,Cuatro Caminos,1400,4,170,5,1,1,0,0,0,0,0,null,Larga duración actualizado 2 vestidores
71,Piso,Fernando de los Ríos,Santander,Los Castros,675,2,50,2,1,1,0,0,1,0,0,1,Temporal curso 2026-27 amueblado
72,Piso,Padre Ignacio Ellacuría,Laredo,Carlos V,4500,4,130,1,1,1,1,0,1,1,0,null,Temporada julio/agosto lujo
73,Piso,Virgen del Carmen,Santoña,,900,3,95,3,1,1,1,0,1,0,0,null,Temporal septiembre-junio
74,Casa independiente,Barrio Rada 70,Voto,,1400,4,190,null,null,null,0,0,0,0,0,null,Larga temporada
75,Piso,Cataluña 4,Los Corrales de Buelna,,650,2,71,0,1,0,0,0,0,0,0,null,Bajo a estrenar
